id,slug,titre,title,shortDescription,longDescription,description,objectifs,learningObjectives,public_cible,targetAudience,ageGroup,duree_heures,duration,tarif_eur,price,materiel,materials,categorie,category,categoryColor,type,sequence_order,tags,discipline,format,image_url,created_at,updated_at
1,chimie-ludique,Chimie Ludique,Chimie Ludique,"Expériences sûres et visuelles pour comprendre réactions et états de la matière.","Atelier pratique avec expériences guidées (réactions colorées, mousse, indicateurs pH). Sécurité et manipulation encadrées. Déroulé : introduction 15 min; 4 expériences 90 min; restitution 15 min.","Expériences visuelles pour découvrir la chimie du quotidien.","Observer réactions chimiques;Utiliser matériel de laboratoire en sécurité","Observer réactions chimiques;Utiliser matériel de laboratoire en sécurité",Primaire,"Écoles primaires, centres de loisirs","7-11 ans",2,"2 heures",180,180,"Kits chimie non toxiques; lunettes; gants","Kits chimie non toxiques; lunettes; gants",sciences,"Sciences & Expériences",blue,workshop,1,chimie;expériences;primaire,sciences_experiences,"Séance unique;Cycle trimestriel",https://images.unsplash.com/photo-1532094349884-543bc11b234d?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
2,electricite-circuits,Électricité et Circuits,Électricité et Circuits,"Construire circuits simples, comprendre tension, courant et sécurité.","Montage de circuits en série/parallèle, utilisation de capteurs et LED, introduction aux moteurs. Déroulé : théorie 20 min; ateliers pratiques 80 min; mini-projet 20 min.","Initiation pratique à l'électricité et à l'électronique de base.","Comprendre circuit série/parallèle;Souder ou connecter composants de base","Comprendre circuit série/parallèle;Souder ou connecter composants de base",Collège,"Collèges, lycées","11-15 ans",2,"2 heures",200,200,"Breadboards; piles; LED; résistances; multimètre","Breadboards; composants; multimètre",sciences,"Sciences & Expériences",blue,workshop,2,électricité;électronique,sciences_experiences,"Séance unique;Cycle trimestriel;Cycle annuel",https://images.unsplash.com/photo-1532094349884-543bc11b234d?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
3,robotique-ludique,Robotique Ludique,Robotique Ludique,"Construire un robot simple et le programmer pour réaliser des missions.","Assemblage d'un châssis, moteurs, capteurs de distance, programmation bloc (Scratch/Blockly). Déroulé : montage 45 min; programmation 60 min; défis 15 min.","Initiation à la robotique et à la logique de programmation.","Assembler robot simple;Programmer déplacements et capteurs","Assembler robot simple;Programmer déplacements et capteurs",Collège,"Collèges, centres de loisirs","10-14 ans",2,"2 heures",220,220,"Kits robotique (châssis, moteurs, capteurs); tablettes","Kits robotique; tablettes",robotique-ia,"Robotique & IA",cyan,workshop,3,robotique;programmation,robotique_ia,"Séance unique;Cycle trimestriel;Hackathon",https://images.unsplash.com/photo-1485827404703-89b55fcc595e?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
4,initiation-ia,Initiation à l'IA,Initiation à l'IA,"Comprendre les bases de l'intelligence artificielle via projets simples.","Notions de données, modèles, entraînement et biais. Atelier pratique : classification d'images simple, démonstration d'outils no-code. Déroulé : théorie 60 min; atelier 150 min; restitution 30 min.","Découverte concrète des concepts d'IA et de leurs usages.","Comprendre pipeline IA;Expérimenter classification simple","Comprendre pipeline IA;Expérimenter classification simple",Collège/Lycée,"Collège, Lycée","13-17 ans",4,"4 heures",320,320,"Ordinateurs; datasets pédagogiques; outils no-code","Ordinateurs; datasets pédagogiques; outils no-code",robotique-ia,"Robotique & IA",cyan,workshop,4,IA;données;éthique,robotique_ia,"Demi-journée;Cycle semestriel",https://images.unsplash.com/photo-1677442136019-21780ecad995?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
5,scratch-creation-jeux,Scratch et Création de Jeux,Scratch et Création de Jeux,"Créer un jeu interactif avec Scratch pour apprendre la logique de programmation.","Conception d'un jeu (personnage, collisions, score), introduction aux variables et boucles. Déroulé : brief 15 min; atelier 90 min; partage 15 min.","Atelier ludique pour découvrir la programmation par blocs.","Structurer algorithmes simples;Utiliser variables et événements","Structurer algorithmes simples;Utiliser variables et événements",Primaire,"Primaire, Collège","8-12 ans",2,"2 heures",160,160,"Ordinateurs; comptes Scratch","Ordinateurs; comptes Scratch",numerique-code,"Numérique & Code",purple,workshop,5,scratch;programmation;primaire,numerique_code,"Séance unique;Cycle trimestriel;Stage vacances",https://images.unsplash.com/photo-1542831371-29b0f74f9713?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
6,python-debutant,Python Débutant,Python Débutant,"Bases de Python : variables, boucles, fonctions et mini-projet.","Atelier pratique sur environnement Python, exercices guidés et mini-projet (jeu texte ou mini-calculateur). Déroulé : 45 min théorie; 150 min pratique; 15 min restitution.","Initiation structurée à Python pour projets simples.","Écrire scripts simples;Décomposer problèmes en fonctions","Écrire scripts simples;Décomposer problèmes en fonctions",Collège/Lycée,"Collège, Lycée","12-17 ans",4,"4 heures",280,280,"Ordinateurs; IDE léger","Ordinateurs; IDE léger",numerique-code,"Numérique & Code",purple,workshop,6,python;programmation,numerique_code,"Demi-journée;Cycle semestriel",https://images.unsplash.com/photo-1542831371-29b0f74f9713?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
7,numerique-responsable,Numérique Responsable,Numérique Responsable,"Apprendre les bonnes pratiques numériques, la cybersécurité et l'utilisation éthique des technologies.","Atelier interactif sur sobriété numérique, gestion des données, mots de passe, fake news. Déroulé : cas pratiques, quiz et atelier de création d'une charte numérique.","Sensibilisation aux usages responsables du numérique.","Réduire empreinte numérique;Identifier sources fiables","Réduire empreinte numérique;Identifier sources fiables",Collège/Lycée,"Collège, Lycée","12-17 ans",2,"2 heures",150,150,"Supports pédagogiques; quiz interactif","Supports pédagogiques; quiz interactif",numerique-responsable,"Numérique responsable",green,workshop,7,cybersécurité;sobriété,numerique_responsable,"Séance unique;Cycle trimestriel",https://images.unsplash.com/photo-1518770660439-4636190af475?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
8,fake-news-verification,Fake News et Vérification,Fake News et Vérification,"Méthodes pour vérifier sources, images et vidéos en ligne.","Atelier pratique avec études de cas, outils de vérification et création d'un guide de vérification pour la classe.","Apprendre à vérifier l'information et repérer les biais.","Utiliser outils de vérification;Analyser sources","Utiliser outils de vérification;Analyser sources",Collège/Lycée,"Collège, Lycée","13-17 ans",2,"2 heures",150,150,"Ordinateurs; fiches méthodologiques","Ordinateurs; fiches méthodologiques",numerique-responsable,"Numérique responsable",green,workshop,8,esprit critique;médias,numerique_responsable,"Séance unique;Cycle trimestriel",https://images.unsplash.com/photo-1518770660439-4636190af475?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
9,jardin-scientifique,Jardin Scientifique,Jardin Scientifique,"Découvrir biodiversité, sol et cycles via un projet jardinage scientifique.","Observation de la biodiversité, mesures du sol, semis et suivi. Déroulé : introduction 20 min; atelier terrain 80 min; carnet de bord 20 min.","Atelier terrain pour comprendre écosystèmes et cycles biologiques.","Observer biodiversité;Mesurer paramètres du sol","Observer biodiversité;Mesurer paramètres du sol",Primaire/Collège,"Primaire, Collège","8-14 ans",2,"2 heures",170,170,"Kits jardinage; loupes; fiches terrain","Kits jardinage; loupes; fiches terrain",ecologie-vie,"Écologie & Sciences de la Vie",emerald,workshop,9,écologie;terrain,ecologie_sciences_vie,"Séance unique;Cycle trimestriel;Projet sur-mesure",https://images.unsplash.com/photo-1532094349884-543bc11b234d?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
10,biodiversite-microhabitats,Biodiversité et Microhabitats,Biodiversité et Microhabitats,"Étude des microhabitats locaux et inventaire d'espèces.","Méthodes d'inventaire, identification d'espèces, création d'un atlas local. Déroulé : méthodologie 20 min; terrain 80 min; synthèse 20 min.","Atelier d'inventaire et d'analyse écologique locale.","Identifier espèces locales;Utiliser protocoles d'inventaire","Identifier espèces locales;Utiliser protocoles d'inventaire",Collège,"Collège","11-15 ans",2,"2 heures",180,180,"Guides d'identification; fiches; loupes","Guides d'identification; fiches; loupes",ecologie-vie,"Écologie & Sciences de la Vie",emerald,workshop,10,biodiversité;inventaire,ecologie_sciences_vie,"Séance unique;Cycle trimestriel;Projet sur-mesure",https://images.unsplash.com/photo-1532094349884-543bc11b234d?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
11,fusees-propulsion,Fusées et Propulsion,Fusées et Propulsion,"Concevoir et lancer des maquettes de fusées, comprendre principes de propulsion.","Étude forces, poussée, aérodynamique; construction et essais de petites fusées à eau ou à air comprimé. Déroulé : théorie 30 min; construction 70 min; lancements 20 min.","Atelier pratique sur principes de vol et propulsion.","Comprendre poussée et traînée;Concevoir maquette stable","Comprendre poussée et traînée;Concevoir maquette stable",Collège/Lycée,"Collège, Lycée","12-17 ans",2,"2 heures",200,200,"Kits fusée eau; pompe; cibles de sécurité","Kits fusée eau; pompe; cibles de sécurité",espace-aeronautique,"Espace & Aéronautique",orange,workshop,11,espace;fusées,espace_aeronotique,"Séance unique;Journée science;Stage vacances",https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
12,satellites-missions,Satellites et Missions,Satellites et Missions,"Concevoir une mission satellite miniature et simuler orbites.","Notions d'orbite, télédétection, capteurs. Atelier projet : concevoir mission, choisir capteurs, simuler orbite et restitution.","Atelier approfondi sur satellites et applications spatiales.","Comprendre orbites;Concevoir mission simple","Comprendre orbites;Concevoir mission simple",Collège/Lycée,"Collège, Lycée","13-17 ans",4,"4 heures",340,340,"Ordinateurs; simulateur orbital; maquettes","Ordinateurs; simulateur orbital; maquettes",espace-aeronautique,"Espace & Aéronautique",orange,workshop,12,satellites;orbites,espace_aeronotique,"Demi-journée;Cycle semestriel",https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
13,impression-3d-fabrication,Impression 3D et Fabrication,Impression 3D et Fabrication,"Concevoir en 3D et fabriquer une pièce fonctionnelle.","Initiation à la modélisation (Tinkercad/FreeCAD), préparation fichier, impression et post-traitement. Déroulé : modélisation 90 min; impression démonstration 60 min; finition 30 min.","Atelier makers pour passer du dessin à l'objet imprimé.","Modéliser en 3D;Préparer impression","Modéliser en 3D;Préparer impression",Collège/Lycée,"Collège, Lycée","12-17 ans",3,"3 heures",260,260,"Imprimantes 3D; filament; postes CAO","Imprimantes 3D; filament; postes CAO",numerique-code,"Numérique & Code",purple,workshop,13,3D;makers,numerique_code,"Demi-journée;Cycle semestriel;Stage vacances",https://images.unsplash.com/photo-1542831371-29b0f74f9713?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
14,electronique-creative,Électronique Créative,Électronique Créative,"Projets électroniques ludiques : wearables, cartes microcontrôleurs.","Utilisation d'Arduino ou micro:bit pour créer objets interactifs (capteurs, LEDs, son). Déroulé : présentation 20 min; prototypage 80 min; démonstration 20 min.","Allier créativité et électronique pour prototyper objets interactifs.","Programmer microcontrôleur;Intégrer capteurs","Programmer microcontrôleur;Intégrer capteurs",Collège/Lycée,"Collège, Lycée","12-17 ans",2,"2 heures",200,200,"Microcontrôleurs; capteurs; câbles","Microcontrôleurs; capteurs; câbles",sciences,"Sciences & Expériences",blue,workshop,14,électronique;microcontrôleur,sciences_experiences,"Séance unique;Cycle trimestriel;Stage vacances",https://images.unsplash.com/photo-1532094349884-543bc11b234d?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
15,makers-junior,Makers Junior,Makers Junior,"Initiation à la fabrication et au bricolage scientifique pour les plus jeunes.","Projets simples : circuits papier, maquettes, petits mécanismes. Déroulé : démonstration 15 min; atelier 90 min; exposition 15 min.","Atelier créatif pour développer motricité et logique.","Développer motricité fine;Comprendre mécanismes simples","Développer motricité fine;Comprendre mécanismes simples",Primaire,"Primaire","6-9 ans",2,"2 heures",160,160,"Matériel de bricolage; consommables; kits simples","Matériel de bricolage; consommables; kits simples",numerique-code,"Numérique & Code",purple,workshop,15,makers;primaire,numerique_code,"Séance unique;Stages vacances",https://images.unsplash.com/photo-1542831371-29b0f74f9713?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
16,projets-stem-avances,Projets STEM Avancés,Projets STEM Avancés,"Cycle intensif pour concevoir un projet interdisciplinaire (robotique, IA, fabrication).","Accompagnement projet de A à Z : cadrage, prototypage, tests et restitution devant jury. Idéal pour TPE/option scientifique. Déroulé sur une journée complète ou 2 demi-journées.","Cycle projet pour monter en compétences techniques et méthodologiques.","Gérer projet technique;Intégrer disciplines STEM","Gérer projet technique;Intégrer disciplines STEM",Lycée,"Lycée","15-18 ans",6,"6 heures",520,520,"Atelier complet; imprimante 3D; kits robotique; PC","Atelier complet; imprimante 3D; kits robotique; PC",sciences,"Sciences & Expériences",blue,workshop,16,projet;lycée,sciences_experiences,"Journée complète;Cycle annuel",https://images.unsplash.com/photo-1635070041078-e363dbe005cb?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
17,hackathon-scolaire,Hackathon Scolaire,Hackathon Scolaire,"Compétition d'innovation 1 journée pour prototyper une solution en équipe.","Organisation clé en main : brief, mentors, matériel, jury et remise de prix. Thématiques adaptables (écologie, mobilité, inclusion). Déroulé : matin cadrage; après-midi prototypage; fin de journée pitchs.","Événement d'innovation pour stimuler créativité et travail d'équipe.","Travailler en équipe;Prototyper rapidement","Travailler en équipe;Prototyper rapidement",Collège/Lycée,"Collège, Lycée","13-18 ans",8,"1 journée",900,900,"Kits; mentors; matériel événementiel","Kits; mentors; matériel événementiel",robotique-ia,"Robotique & IA",cyan,workshop,17,hackathon;événement,robotique_ia,"Événement;Hackathon;Pack",https://images.unsplash.com/photo-1485827404703-89b55fcc595e?q=80&w=2070,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
18,anniversaire-tech,Anniversaire Tech,Anniversaire Tech,"Formule événementielle pour anniversaire avec défis robotiques et expériences.","Animation clé en main : 3 heures d'activités encadrées, matériel fourni, scénario ludique et goûter possible. Options : thème robotique, chimie, espace.","Fête d'anniversaire originale axée sciences et technologie.","Coopérer;Résoudre défis ludiques","Coopérer;Résoudre défis ludiques",Enfants/Familles,"Particuliers, familles","7-12 ans",3,"3 heures",250,250,"Kits thématiques; animateur; consommables","Kits thématiques; animateur; consommables",pack,"Pack",blue,pack,18,anniversaire;événement,numerique_code,"Événement;Pack",https://images.unsplash.com/photo-1503676260728-1c00da094a0b?q=80&w=2022,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z
